Curso;Módulo atual;Faltas Consecutivas;Idade;Sexo;Bairro;Cidade;Pend. Acad.;Possui Pendência Financeira;Bolsista;Antecipou Parcela;Situação (código)
Curso Técnico em Administração;0;0;25;1;Cruzeiro;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;30;1;Centro;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;23;0;Zabelê;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;31;1;Espirito santo;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;28;1;Campinhos;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;22;0;Patagônia;Vitória da Conquista;1;0;0;0;9
Curso Técnico em Administração;0;0;24;1;Centro;Caraíbas;0;0;0;0;0
Curso Técnico em Administração;0;0;31;1;Centro;Itamaraju;0;1;0;0;7
Curso Técnico em Administração;0;0;40;1;Alto Maron;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;29;0;Cruzeiro;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;32;1;Patagônia;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;35;1;Ibirapuera;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;23;0;Conveima;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;25;0;Patagônia;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;31;1;Zabelê;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;27;1;Centro;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;22;1;Centro;Ribeirão do Largo;0;0;0;0;0
Curso Técnico em Administração;0;0;29;1;São Pedro;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;31;0;Centro;Barra do Choça;0;0;0;0;2
Curso Técnico em Administração;0;0;25;0;Kadija;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;20;1;Felícia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;37;0;Brasil;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;25;1;Espírito Santo;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;27;0;Ibirapuera;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;24;1;Espírito Santo;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;26;0;Brasil;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;40;1;Zabelê;Vitória da Conquista;1;0;0;0;9
Curso Técnico em Administração;0;0;24;1;Centro;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;23;1;Nossa Senhora Aparecida;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;29;1;Patagônia;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;26;1;Alto Maron;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;26;0;Patagônia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;26;1;Espírito Santo;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;27;1;Centro;Barra do Choça;0;0;0;0;0
Curso Técnico em Administração;0;0;33;0;Boa Vista;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;26;1;Alto Maron;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;32;1;Patagônia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;27;1;Brasil;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;35;1;Jurema;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;22;1;Ibirapuera;Vitória da Conquista;0;0;0;0;1
